iter	Passed	Remaining
0	13	8299
1	26	7982
2	38	7697
3	51	7696
4	64	7711
5	77	7667
6	90	7677
7	105	7803
8	120	7898
9	134	7921
10	150	8073
11	164	8080
12	178	8072
13	192	8045
14	205	8018
15	218	7967
16	231	7948
17	245	7941
18	258	7907
19	272	7889
20	284	7847
21	299	7857
22	311	7817
23	324	7776
24	336	7740
25	348	7692
26	360	7658
27	373	7634
28	385	7588
29	398	7564
30	410	7534
31	423	7513
32	435	7488
33	448	7460
34	459	7425
35	472	7398
36	485	7389
37	498	7375
38	510	7340
39	522	7319
40	535	7301
41	548	7282
42	560	7265
43	574	7256
44	585	7219
45	598	7212
46	610	7182
47	623	7170
48	636	7158
49	650	7150
50	662	7134
51	675	7117
52	688	7102
53	700	7079
54	764	7570
55	788	7661
56	800	7628
57	827	7730
58	838	7693
59	850	7655
60	863	7627
61	875	7598
62	887	7566
63	900	7545
64	912	7513
65	926	7494
66	937	7458
67	950	7435
68	961	7399
69	972	7365
70	984	7336
71	997	7311
72	1008	7283
73	1020	7254
74	1033	7237
75	1046	7216
76	1059	7194
77	1070	7164
78	1081	7135
79	1094	7114
80	1106	7091
81	1118	7065
82	1132	7051
83	1144	7032
84	1157	7014
85	1170	6995
86	1183	6978
87	1197	6965
88	1211	6957
89	1226	6951
90	1240	6939
91	1253	6920
92	1265	6898
93	1277	6875
94	1289	6854
95	1302	6836
96	1313	6811
97	1327	6797
98	1339	6776
99	1350	6754
100	1361	6725
101	1374	6709
102	1385	6685
103	1397	6663
104	1409	6646
105	1421	6626
106	1433	6606
107	1445	6584
108	1458	6568
109	1474	6566
110	1486	6547
111	1500	6538
112	1515	6530
113	1529	6521
114	1543	6509
115	1556	6493
116	1567	6468
117	1579	6453
118	1593	6441
119	1606	6427
120	1618	6408
121	1632	6395
122	1644	6379
123	1657	6362
124	1670	6347
125	1682	6327
126	1694	6309
127	1706	6291
128	1718	6273
129	1731	6260
130	1744	6244
131	1755	6225
132	1768	6210
133	1780	6192
134	1794	6179
135	1807	6166
136	1819	6148
137	1830	6127
138	1841	6108
139	1852	6087
140	1864	6070
141	1876	6050
142	1887	6033
143	1899	6014
144	1911	5997
145	1923	5980
146	1934	5961
147	1947	5947
148	1958	5927
149	1969	5908
150	1980	5888
151	1991	5868
152	2001	5846
153	2012	5829
154	2024	5811
155	2037	5798
156	2050	5785
157	2062	5770
158	2075	5757
159	2089	5747
160	2100	5726
161	2110	5704
162	2121	5687
163	2134	5674
164	2145	5655
165	2157	5639
166	2167	5619
167	2179	5603
168	2191	5588
169	2203	5572
170	2214	5555
171	2226	5541
172	2239	5527
173	2250	5508
174	2259	5487
175	2268	5465
176	2277	5443
177	2288	5425
178	2298	5406
179	2308	5386
180	2318	5366
181	2328	5347
182	2338	5328
183	2349	5313
184	2360	5295
185	2373	5282
186	2384	5265
187	2394	5248
188	2406	5233
189	2417	5216
190	2429	5201
191	2441	5187
192	2451	5170
193	2462	5153
194	2473	5136
195	2485	5122
196	2496	5106
197	2506	5088
198	2517	5072
199	2528	5057
200	2539	5041
201	2551	5027
202	2563	5013
203	2574	4996
204	2587	4985
205	2598	4970
206	2610	4955
207	2620	4938
208	2632	4925
209	2644	4911
210	2654	4893
211	2664	4876
212	2674	4860
213	2686	4845
